premise,choice1,choice2,question,idx,label,Terminology,Culture,Language
Pria itu memangku tasnya saat menaiki angkutan umum.,Pria itu berjaga-jaga agar tasnya tidak dicuri.,Tasnya empuk.,cause,0,0,0,1,0
Kulitnya bentol-bentol.,Ia digigit nyamuk.,Ia dipatuk ayam .,cause,1,0,0,1,0
Bapak saya masuk angin.,Bapak pulang dari salon.,Bapak pulang ronda.,cause,2,1,1,0,0
Jari bocah itu sakit.,Ia terlalu banyak main enggrang.,Ia terlalu banyak main kelereng.,cause,3,1,0,1,0
Dia sedih.,Nilai rapornya banyak yang merah.,Nilai rapornya banyak yang hijau.,cause,4,0,0,1,0
Ibu itu begitu bahagia.,Namanya terpilih di undian arisan.,Namanya tidak terpilih di undian arisan.,cause,5,0,1,0,0
Orang itu makan nasi porsi kuli.,Orang itu bosan makan nasi.,Orang itu belum makan dari kemarin.,cause,6,1,0,1,0
Ia merasa geli.,Temannya menggosokkan kemoceng di kakinya.,Temannya menggosokkan kentongan di kakinya.,cause,7,0,1,0,0
Ia tidak naik kelas.,Ia jarang belajar.,Ia takut ketinggian.,cause,8,0,0,0,1
Pria itu baru saja selesai solat berjamaah. Ia terkejut.,Bajunya hilang dicuri.,Sandalnya hilang dicuri.,cause,9,1,0,1,0
Gadis itu ikut latihan saman.,Ia senang ilmu mistis.,Ia senang menari.,cause,10,1,1,0,0
Pemuda itu makan di warteg.,Dia sedang ingin makan makanan mewah.,Dia sedang berhemat.,cause,11,1,1,0,0
KPR bapak macet.,Bapak dipecat dari kantor.,Bapak jarang membersihkan rumah.,cause,12,0,1,0,0
Kakak menjuarai lomba gurindam.,Kakak sangat perkasa.,Kakak sangat kreatif.,cause,13,1,1,0,0
Bapak itu memesan ojek.,Dia sangat mengantuk.,Dia ingin berangkat ke kantor.,cause,14,1,1,0,0
Ibu kos datang.,Ia akan mengadakan lomba memasak.,Ia ingin menagih bayaran.,cause,15,1,1,0,0
Mahasiswa itu terlihat gugup.,Sebentar lagi sidang pidana.,Sebentar lagi sidang skripsi.,cause,16,1,0,1,0
Ia berlatih gerakan kuda-kuda.,Ia sedang belajar silat.,Ia sedang belajar naik kuda.,cause,17,0,0,0,1
Kakinya kapalan.,Ia seorang nahkoda kapal.,Ia jarang pakai alas kaki.,cause,18,1,0,0,1
Pengusaha kelas kakap itu akhirnya jatuh juga.,Hotel-hotel miliknya sepi pengunjung karena pandemi.,Ikan kakap yang dijualnya jatuh dari meja.,cause,19,0,0,0,1
Wanita itu sangat ingin menjadi artis.,Ia menekuni seni melukis dan menggambar.,Ia mencoba mengadu nasib dengan mengikuti audisi penyanyi.,effect,20,1,0,0,1
Mahasiswa itu ketahuan titip absen.,Mahasiswa itu dikeluarkan dari kampus.,Dosennya memberikan nilai F.,effect,21,1,0,1,0
